Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment
40,13_07_17,3:03:30,0:03:30,0,1,4,4,0,,,
40,13_07_17,3:03:40,0:03:40,0,1,6,6,0,,,
40,13_07_17,3:03:50,0:03:50,0,0,0,0,0,,,
40,13_07_17,3:04:00,0:04:00,0,0,0,0,0,,,
40,13_07_17,3:04:10,0:04:10,0,0,0,0,0,,,
40,13_07_17,3:04:20,0:04:20,0,0,0,0,0,,,
40,13_07_17,3:04:30,0:04:30,0,1,4,4,0,,,
40,13_07_17,3:04:40,0:04:40,0,0,0,0,0,,,
40,13_07_17,3:04:50,0:04:50,0,0,0,0,0,,,
40,13_07_17,9:00:00,0:00:00,0,0,0,0,3,Grunt,,
40,13_07_17,9:00:10,0:00:10,2,0,0,2,0,,,
40,13_07_17,9:00:20,0:00:20,0,0,0,0,0,,,
40,13_07_17,9:00:30,0:00:30,0,0,0,0,0,,,
40,13_07_17,9:00:40,0:00:40,0,0,0,0,0,,,
40,13_07_17,9:00:50,0:00:50,0,0,0,0,1,Grunt,,Boat
40,13_07_17,9:01:00,0:01:00,0,0,0,0,0,,,Boat
40,13_07_17,9:01:10,0:01:10,2,0,0,2,0,,,Boat
40,13_07_17,9:01:20,0:01:20,0,0,0,0,0,,,Boat
40,13_07_17,9:01:30,0:01:30,0,0,0,0,0,,,Boat
40,13_07_17,9:01:40,0:01:40,3,0,0,3,8,Grunt,,Boat
40,13_07_17,9:01:50,0:01:50,1,0,0,1,0,,,
40,13_07_17,9:02:00,0:02:00,1,0,0,1,0,,,
40,13_07_17,9:02:10,0:02:10,0,1,16,16,0,,,
40,13_07_17,9:02:20,0:02:20,0,0,0,0,0,,,
40,13_07_17,9:02:30,0:02:30,0,0,0,0,0,,,
40,13_07_17,9:02:40,0:02:40,1,0,0,1,0,,,
40,13_07_17,9:02:50,0:02:50,0,0,0,0,0,,,
40,13_07_17,9:03:00,0:03:00,1,0,0,1,0,,,
40,13_07_17,9:03:10,0:03:10,0,0,0,0,0,,,
40,13_07_17,9:03:20,0:03:20,0,0,0,0,0,,,
40,13_07_17,9:03:30,0:03:30,0,0,0,0,0,,,
40,13_07_17,9:03:40,0:03:40,0,0,0,0,0,,,
40,13_07_17,9:03:50,0:03:50,0,0,0,0,0,,,
40,13_07_17,9:04:00,0:04:00,0,0,0,0,0,,,
40,13_07_17,9:04:10,0:04:10,2,0,0,2,0,,,
40,13_07_17,9:04:20,0:04:20,4,0,0,4,0,,,
40,13_07_17,9:04:30,0:04:30,0,3,7,7,0,,,
40,13_07_17,9:04:40,0:04:40,0,0,0,0,2,Squeak,,
40,13_07_17,9:04:50,0:04:50,0,0,0,0,0,,,
40,13_07_17,15:00:00,0:00:00,0,0,0,0,0,,,
40,13_07_17,15:00:10,0:00:10,0,0,0,0,0,,,
40,13_07_17,15:00:20,0:00:20,0,0,0,0,0,,,
40,13_07_17,15:00:30,0:00:30,0,0,0,0,0,,1,
40,13_07_17,15:00:40,0:00:40,1,0,0,1,0,,,
40,13_07_17,15:00:50,0:00:50,0,0,0,0,0,,,
40,13_07_17,15:01:00,0:01:00,1,0,0,1,0,,,
40,13_07_17,15:01:10,0:01:10,0,0,0,0,0,,,
40,13_07_17,15:01:20,0:01:20,0,0,0,0,0,,,
40,13_07_17,15:01:30,0:01:30,0,0,0,0,0,,,
40,13_07_17,15:01:40,0:01:40,1,0,0,1,0,,,
40,13_07_17,15:01:50,0:01:50,0,0,0,0,0,,,
40,13_07_17,15:02:00,0:02:00,0,0,0,0,0,,,
40,13_07_17,15:02:10,0:02:10,0,0,0,0,2,"1 Squeak, 1 Chirp",,
40,13_07_17,15:02:20,0:02:20,0,0,0,0,0,,,
40,13_07_17,15:02:30,0:02:30,0,1,2,2,0,,,
40,13_07_17,15:02:40,0:02:40,0,0,0,0,1,Buzz,,
40,13_07_17,15:02:50,0:02:50,1,0,0,1,0,,,
40,13_07_17,15:03:00,0:03:00,0,1,3,3,0,,,
40,13_07_17,15:03:10,0:03:10,0,1,5,5,0,,,
40,13_07_17,15:03:20,0:03:20,0,0,0,0,1,Grunt,,
40,13_07_17,15:03:30,0:03:30,0,0,0,0,0,,,
40,13_07_17,15:03:40,0:03:40,0,0,0,0,0,,,
40,13_07_17,15:03:50,0:03:50,1,0,0,1,0,,,
40,13_07_17,15:04:00,0:04:00,0,0,0,0,0,,,
40,13_07_17,15:04:10,0:04:10,0,1,24,24,0,,,
40,13_07_17,15:04:20,0:04:20,0,1,8,8,0,,,
40,13_07_17,15:04:30,0:04:30,2,0,0,2,0,,,
40,13_07_17,15:04:40,0:04:40,0,0,0,0,0,,,
40,13_07_17,15:04:50,0:04:50,0,0,0,0,0,,,
40,13_07_17,21:00:00,0:00:00,5,0,0,5,4,Chirp,,Great clip to show in presentations
40,13_07_17,21:00:10,0:00:10,2,0,0,2,2,Buzz,,
40,13_07_17,21:00:20,0:00:20,0,0,0,0,1,Chirp,,
40,13_07_17,21:00:30,0:00:30,0,0,0,0,2,Chirp,,
40,13_07_17,21:00:40,0:00:40,2,0,0,2,2,Chirp,,
40,13_07_17,21:00:50,0:00:50,0,0,0,0,2,Chirp,,
40,13_07_17,21:01:00,0:01:00,0,0,0,0,3,Chirp,,Big background noise ~ .5 sec long
40,13_07_17,21:01:10,0:01:10,0,1,2,2,1,Chirp,,
40,13_07_17,21:01:20,0:01:20,0,0,0,0,0,,,
40,13_07_17,21:01:30,0:01:30,0,0,0,0,1,Chirp,,
40,13_07_17,21:01:40,0:01:40,2,0,0,2,2,Chirp,,
40,13_07_17,21:01:50,0:01:50,0,0,0,0,2,Chirp,,
40,13_07_17,21:02:00,0:02:00,0,0,0,0,1,Grunt,,
40,13_07_17,21:02:10,0:02:10,0,0,0,0,0,,,
40,13_07_17,21:02:20,0:02:20,0,0,0,0,0,,,
40,13_07_17,21:02:30,0:02:30,0,0,0,0,0,,,
