Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment,
8,27_06_18,21:04:50,0:04:50,0,0,0,0,11,Grunt,,,
8,12_07_17,3:00:00,0:00:00,0,2,6,6,0,,,,
8,12_07_17,3:00:10,0:00:10,0,1,5,5,0,,,,
8,12_07_17,3:00:20,0:00:20,0,1,3,3,0,,,,
8,12_07_17,3:00:30,0:00:30,0,1,8,8,0,,,,
8,12_07_17,3:00:40,0:00:40,3,0,0,3,0,,,,
8,12_07_17,3:00:50,0:00:50,0,0,0,0,0,,,,
8,12_07_17,3:01:00,0:01:00,0,1,3,3,0,,,,
8,12_07_17,3:01:10,0:01:10,2,0,0,2,0,,,,
8,12_07_17,3:01:20,0:01:20,1,0,0,1,0,,,,
8,12_07_17,3:01:30,0:01:30,0,2,5,5,0,,,,
8,12_07_17,3:01:40,0:01:40,0,0,0,0,0,,,3 loud snaps,
8,12_07_17,3:01:50,0:01:50,1,2,6,7,0,,,,
8,12_07_17,3:02:00,0:02:00,0,0,0,0,0,,,,
8,12_07_17,3:02:10,0:02:10,0,0,0,0,0,,,,
8,12_07_17,3:02:20,0:02:20,0,0,0,0,0,,,,
8,12_07_17,3:02:30,0:02:30,0,0,0,0,0,,,,
8,12_07_17,3:02:40,0:02:40,1,1,3,4,0,,,,
8,12_07_17,3:02:50,0:02:50,0,2,9,9,0,,,,
8,12_07_17,3:03:00,0:03:00,0,0,0,0,0,,,,
8,12_07_17,3:03:10,0:03:10,0,1,18,18,0,,,,
8,12_07_17,3:03:20,0:03:20,3,0,0,3,0,,,,
8,12_07_17,3:03:30,0:03:30,0,0,0,0,0,,,,
8,12_07_17,3:03:40,0:03:40,0,2,8,8,1,Buzz,,,
8,12_07_17,3:03:50,0:03:50,2,0,0,2,0,,,,
8,12_07_17,3:04:00,0:04:00,0,0,0,0,0,,,,
8,12_07_17,3:04:10,0:04:10,1,0,0,1,0,,,,
8,12_07_17,3:04:20,0:04:20,2,0,0,2,0,,2,,
8,12_07_17,3:04:30,0:04:30,0,0,0,0,0,,1,,
8,12_07_17,3:04:40,0:04:40,0,1,6,6,0,,,,
8,12_07_17,3:04:50,0:04:50,1,0,0,1,0,,,,
8,12_07_17,9:00:00,0:00:00,0,0,0,0,0,,,,
8,12_07_17,9:00:10,0:00:10,0,0,0,0,0,,,,
8,12_07_17,9:00:20,0:00:20,3,0,0,3,0,,,,
8,12_07_17,9:00:30,0:00:30,1,0,0,1,0,,,,
8,12_07_17,9:00:40,0:00:40,1,0,0,1,0,,,,
8,12_07_17,9:00:50,0:00:50,0,0,0,0,0,,,,
8,12_07_17,9:01:00,0:01:00,0,0,0,0,0,,,,
8,12_07_17,9:01:10,0:01:10,0,0,0,0,0,,,,
