Year,Month,Day,Hour,Minute,Date,Time,Snaps
2018,6,17,7,45,06/17/2018,07:45:00,1477
2018,6,17,8,0,06/17/2018,08:00:00,1491
2018,6,17,8,15,06/17/2018,08:15:00,1466
2018,6,17,8,30,06/17/2018,08:30:00,1566
2018,6,17,8,45,06/17/2018,08:45:00,1557
2018,6,17,9,0,06/17/2018,09:00:00,1505
2018,6,17,9,15,06/17/2018,09:15:00,1462
2018,6,17,9,30,06/17/2018,09:30:00,1420
2018,6,17,9,45,06/17/2018,09:45:00,1361
2018,6,17,10,0,06/17/2018,10:00:00,1415
2018,6,17,10,15,06/17/2018,10:15:00,1462
2018,6,17,10,30,06/17/2018,10:30:00,1476
2018,6,17,10,45,06/17/2018,10:45:00,1384
2018,6,17,11,0,06/17/2018,11:00:00,1383
2018,6,17,11,15,06/17/2018,11:15:00,1346
2018,6,17,11,30,06/17/2018,11:30:00,1405
2018,6,17,11,45,06/17/2018,11:45:00,1436
2018,6,17,12,0,06/17/2018,12:00:00,1428
2018,6,17,12,15,06/17/2018,12:15:00,1440
2018,6,17,12,30,06/17/2018,12:30:00,1387
2018,6,17,12,45,06/17/2018,12:45:00,1413
2018,6,17,13,0,06/17/2018,13:00:00,1419
2018,6,17,13,15,06/17/2018,13:15:00,1417
2018,6,17,13,30,06/17/2018,13:30:00,1473
2018,6,17,13,45,06/17/2018,13:45:00,1457
2018,6,17,14,0,06/17/2018,14:00:00,1406
2018,6,17,14,15,06/17/2018,14:15:00,1440
2018,6,17,14,30,06/17/2018,14:30:00,1420
2018,6,17,14,45,06/17/2018,14:45:00,1418
2018,6,17,15,0,06/17/2018,15:00:00,1367
2018,6,17,15,15,06/17/2018,15:15:00,1415
2018,6,17,15,30,06/17/2018,15:30:00,1474
2018,6,17,15,45,06/17/2018,15:45:00,1397
2018,6,17,16,0,06/17/2018,16:00:00,1422
2018,6,17,16,15,06/17/2018,16:15:00,1461
2018,6,17,16,30,06/17/2018,16:30:00,1453
2018,6,17,16,45,06/17/2018,16:45:00,1524
2018,6,17,17,0,06/17/2018,17:00:00,1480
2018,6,17,17,15,06/17/2018,17:15:00,1400
2018,6,17,17,30,06/17/2018,17:30:00,1407
2018,6,17,17,45,06/17/2018,17:45:00,1411
2018,6,17,18,0,06/17/2018,18:00:00,1295
2018,6,17,18,15,06/17/2018,18:15:00,1424
2018,6,17,18,30,06/17/2018,18:30:00,1362
2018,6,17,18,45,06/17/2018,18:45:00,1367
2018,6,17,19,0,06/17/2018,19:00:00,1416
2018,6,17,19,15,06/17/2018,19:15:00,1237
2018,6,17,19,30,06/17/2018,19:30:00,1427
2018,6,17,19,45,06/17/2018,19:45:00,1422
2018,6,17,20,0,06/17/2018,20:00:00,1435
2018,6,17,20,15,06/17/2018,20:15:00,1462
2018,6,17,20,30,06/17/2018,20:30:00,1393
2018,6,17,20,45,06/17/2018,20:45:00,1399
2018,6,17,21,0,06/17/2018,21:00:00,1426
2018,6,17,21,15,06/17/2018,21:15:00,1440
2018,6,17,21,30,06/17/2018,21:30:00,1416
2018,6,17,21,45,06/17/2018,21:45:00,1452
2018,6,17,22,0,06/17/2018,22:00:00,1492
2018,6,17,22,15,06/17/2018,22:15:00,1565
2018,6,17,22,30,06/17/2018,22:30:00,1570
2018,6,17,22,45,06/17/2018,22:45:00,1509
2018,6,17,23,0,06/17/2018,23:00:00,1494
2018,6,17,23,15,06/17/2018,23:15:00,1550
2018,6,17,23,30,06/17/2018,23:30:00,1498
2018,6,17,23,45,06/17/2018,23:45:00,1531
2018,6,18,0,0,06/18/2018,00:00:00,1477
2018,6,18,0,15,06/18/2018,00:15:00,1515
2018,6,18,0,30,06/18/2018,00:30:00,1602
2018,6,18,0,45,06/18/2018,00:45:00,1513
2018,6,18,1,0,06/18/2018,01:00:00,1533
