File,Snaps
1677987881.170708180004.wav,1453
1677987881.170708181002.wav,1438
1677987881.170708182002.wav,1469
1677987881.170708183002.wav,1392
1677987881.170708184002.wav,1473
1677987881.170708185002.wav,1518
1677987881.170708190002.wav,1411
1677987881.170708191002.wav,1516
1677987881.170708192002.wav,1422
1677987881.170708193002.wav,1451
1677987881.170708194002.wav,1493
1677987881.170708195002.wav,1472
1677987881.170708200002.wav,1431
1677987881.170708201002.wav,1480
1677987881.170708202002.wav,1403
1677987881.170708203002.wav,1465
1677987881.170708204002.wav,1430
1677987881.170708205002.wav,1456
1677987881.170708210002.wav,1416
1677987881.170708211002.wav,1466
1677987881.170708212002.wav,1506
1677987881.170708213002.wav,1515
1677987881.170708214002.wav,1529
1677987881.170708215002.wav,1495
1677987881.170708220002.wav,1450
1677987881.170708221002.wav,1553
1677987881.170708222002.wav,1492
1677987881.170708223002.wav,1497
1677987881.170708224002.wav,1494
1677987881.170708225002.wav,1462
1677987881.170708230002.wav,1486
1677987881.170708231002.wav,1477
1677987881.170708232002.wav,1440
1677987881.170708233002.wav,1425
1677987881.170708234002.wav,1403
1677987881.170708235002.wav,1494
1677987881.170709000002.wav,1479
1677987881.170709001002.wav,1459
1677987881.170709002002.wav,1410
1677987881.170709003002.wav,1461
1677987881.170709004002.wav,1425
1677987881.170709005002.wav,1445
1677987881.170709010002.wav,1472
1677987881.170709011002.wav,1467
1677987881.170709012002.wav,1461
1677987881.170709013002.wav,1437
1677987881.170709014002.wav,1438
1677987881.170709015002.wav,1465
1677987881.170709020002.wav,1487
1677987881.170709021002.wav,1463
1677987881.170709022002.wav,1461
1677987881.170709023002.wav,1442
1677987881.170709024002.wav,1463
1677987881.170709025002.wav,1473
1677987881.170709030002.wav,1439
1677987881.170709031002.wav,1444
1677987881.170709032002.wav,1465
1677987881.170709033002.wav,1447
1677987881.170709034002.wav,1462
1677987881.170709035002.wav,1506
1677987881.170709040002.wav,1519
1677987881.170709041002.wav,1470
1677987881.170709042002.wav,1480
1677987881.170709043002.wav,1527
1677987881.170709044002.wav,1497
1677987881.170709045002.wav,1434
1677987881.170709050002.wav,1525
1677987881.170709051002.wav,1481
1677987881.170709052002.wav,1432
1677987881.170709053002.wav,1474
1677987881.170709054002.wav,1446
1677987881.170709055002.wav,1475
1677987881.170709060002.wav,1473
1677987881.170709061002.wav,1500
1677987881.170709062002.wav,1464
1677987881.170709063002.wav,1484
1677987881.170709064002.wav,1421
1677987881.170709065002.wav,1492
1677987881.170709070002.wav,1436
1677987881.170709071002.wav,1418
1677987881.170709072002.wav,1473
1677987881.170709073002.wav,1501
1677987881.170709074002.wav,1429
1677987881.170709075002.wav,1530
1677987881.170709080002.wav,1412
1677987881.170709081002.wav,1486
1677987881.170709082002.wav,1450
1677987881.170709083002.wav,1464
1677987881.170709084002.wav,1473
1677987881.170709085002.wav,1504
1677987881.170709090002.wav,1518
1677987881.170709091002.wav,1547
1677987881.170709092002.wav,1504
1677987881.170709093002.wav,1513
1677987881.170709094002.wav,1424
1677987881.170709095002.wav,1479
1677987881.170709100002.wav,1468
1677987881.170709101002.wav,1504
1677987881.170709102002.wav,1432
1677987881.170709103002.wav,1516
1677987881.170709104002.wav,1483
1677987881.170709105002.wav,1545
1677987881.170709110002.wav,1487
1677987881.170709111002.wav,1433
1677987881.170709112002.wav,1454
1677987881.170709113002.wav,1469
1677987881.170709114002.wav,1477
1677987881.170709115002.wav,1524
1677987881.170709120002.wav,1429
1677987881.170709121002.wav,1448
1677987881.170709122002.wav,1468
1677987881.170709123002.wav,1514
1677987881.170709124002.wav,1447
1677987881.170709125002.wav,1476
1677987881.170709130002.wav,1478
1677987881.170709131002.wav,1470
1677987881.170709132002.wav,1465
1677987881.170709133002.wav,1446
1677987881.170709134002.wav,1480
1677987881.170709135002.wav,1425
1677987881.170709140002.wav,1450
1677987881.170709141002.wav,1501
1677987881.170709142002.wav,1455
1677987881.170709143002.wav,1409
1677987881.170709144002.wav,1419
1677987881.170709145002.wav,1383
1677987881.170709150002.wav,1486
1677987881.170709151002.wav,1438
1677987881.170709152002.wav,1456
1677987881.170709153002.wav,1463
1677987881.170709154002.wav,1456
1677987881.170709155002.wav,1395
1677987881.170709160002.wav,1513
1677987881.170709161002.wav,1449
1677987881.170709162002.wav,1416
1677987881.170709163002.wav,1433
