File,Snaps
1677987850.170706161002.wav,1430
1677987850.170706162002.wav,1359
1677987850.170706163002.wav,1348
1677987850.170706164002.wav,1398
1677987850.170706165002.wav,1417
1677987850.170706170002.wav,1269
1677987850.170706171002.wav,1364
1677987850.170706172002.wav,1316
1677987850.170706173002.wav,1393
1677987850.170706174002.wav,1412
1677987850.170706175002.wav,1434
1677987850.170706180002.wav,1279
1677987850.170706181002.wav,1381
1677987850.170706182002.wav,1413
1677987850.170706183002.wav,1405
1677987850.170706184002.wav,1374
1677987850.170706185002.wav,1381
1677987850.170706190002.wav,1432
1677987850.170706191002.wav,1405
1677987850.170706192002.wav,1379
1677987850.170706193002.wav,1317
1677987850.170706194002.wav,1378
1677987850.170706195002.wav,1393
1677987850.170706200002.wav,1330
1677987850.170706201002.wav,1328
1677987850.170706202002.wav,1363
1677987850.170706203002.wav,1434
1677987850.170706204002.wav,1426
1677987850.170706205002.wav,1393
1677987850.170706210002.wav,1387
1677987850.170706211002.wav,1401
1677987850.170706212002.wav,1388
1677987850.170706213002.wav,1460
1677987850.170706214002.wav,1414
1677987850.170706215002.wav,1413
1677987850.170706220002.wav,1472
1677987850.170706221002.wav,1498
1677987850.170706222002.wav,1489
1677987850.170706223002.wav,1491
1677987850.170706224002.wav,1472
1677987850.170706225002.wav,1561
1677987850.170706230002.wav,1449
1677987850.170706231002.wav,1573
1677987850.170706232002.wav,1499
1677987850.170706233002.wav,1502
1677987850.170706234002.wav,1460
1677987850.170706235002.wav,1448
1677987850.170707000002.wav,1429
1677987850.170707001002.wav,1488
1677987850.170707002002.wav,1454
1677987850.170707003002.wav,1497
1677987850.170707004002.wav,1496
1677987850.170707005002.wav,1475
1677987850.170707010002.wav,1487
1677987850.170707011002.wav,1429
1677987850.170707012002.wav,1488
1677987850.170707013002.wav,1495
1677987850.170707014002.wav,1492
1677987850.170707015002.wav,1454
1677987850.170707020002.wav,1443
1677987850.170707021002.wav,1474
1677987850.170707022002.wav,1460
1677987850.170707023002.wav,1482
1677987850.170707024002.wav,1534
1677987850.170707025002.wav,1512
1677987850.170707030002.wav,1492
1677987850.170707031002.wav,1493
