,CREDSpecies,CoarseFG,FineFG,Classifier,Date Classified,Reference,Notes
Carangidae,Seriola dumerili,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Carangidae,Trachinotus baillonii,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Carcharhinidae,Carcharhinus amblyrhynchos,Carnivore,Piscivore,MD,04/07/2013,Randall,Uncertain feeding times
Carcharhinidae,Carcharhinus galapagensis,Carnivore,Piscivore,MD,04/07/2013,Randall,Uncertain feeding times
Carcharhinidae,Carcharhinus melanopterus,Carnivore,Piscivore,MD,04/07/2013,Randall,Uncertain feeding times
Carcharhinidae,Triaenodon obesus,Carnivore,Nocturnal piscivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon auriga,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon bennetti,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon citrinellus,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on algae, benthic inverts"
Chaetodontidae,Chaetodon ephippium,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on algae, benthic inverts"
Chaetodontidae,Chaetodon flavocoronatus,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on algae, benthic inverts"
Chaetodontidae,Chaetodon fremblii,Carnivore,Invertivore,MD,04/07/2013,FishBase,
Chaetodontidae,Chaetodon kleinii,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on zooplankton, benthic algae"
Chaetodontidae,Chaetodon lineolatus,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on algae, benthic inverts"
Chaetodontidae,Chaetodon lunula,Carnivore,Invertivore,MD,04/07/2013,Randall,"Coral, opithobranchs, nudibranchs, tube-worm tentacles, benthic algae"
Chaetodontidae,Chaetodon lunulatus,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon melannotus,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon mertensii,Carnivore,Invertivore,MD,04/07/2013,Randall,"Algae, benthic inverts"
Chaetodontidae,Chaetodon meyeri,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon miliaris,Planktivore,Diurnal planktivore,MD,04/07/2013,Ralston,
Chaetodontidae,Chaetodon multicinctus,Carnivore,Corallivore,MD,04/07/2013,Aeby,
Chaetodontidae,Chaetodon ornatissimus,Carnivore,Corallivore,MD,04/07/2013,Randall,
Chaetodontidae,Chaetodon pelewensis,Carnivore,Corallivore,MD,04/07/2013,Randall,"Also feeds on algae, benthic inverts"
